CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
0.971  			8.600			0.200			2532040  		2529103  		23876  		1270108  		5007228  		6480376
	
1.000  			7.300			0.200			2532040  		2529103  		23876  		1270840  		5006488  		6479636
	
0.000  			6.400			0.200			2532040  		2529103  		23876  		1270716  		5006612  		6479768
	
0.000  			5.600			0.200			2532040  		2529103  		23876  		1270848  		5006480  		6479636
	
1.000  			4.500			0.200			2532040  		2529103  		23876  		1270808  		5006520  		6479676
	
0.000  			4.100			0.200			2532040  		2529103  		23876  		1270956  		5006372  		6479528
	
1.000  			3.800			0.200			2532040  		2529103  		23876  		1271312  		5006100  		6479172
	
0.000  			3.600			0.200			2532040  		2529103  		23876  		1270920  		5006488  		6479556
	
1.000  			3.300			0.200			2532040  		2529103  		23876  		1271036  		5006372  		6479440
	
0.000  			3.000			0.200			2532040  		2529103  		23876  		1270804  		5006604  		6479680
	
1.000  			2.800			0.200			2532040  		2529103  		23876  		1270856  		5006552  		6479628
	
0.000  			2.700			0.200			2532040  		2529103  		23876  		1270664  		5006736  		6479816
	
1.000  			2.500			0.200			2532040  		2529103  		23876  		1270540  		5006860  		6479944
	
0.000  			2.500			0.200			2532040  		2529103  		23876  		1270788  		5006612  		6479696
	
0.000  			2.300			0.200			2532040  		2529103  		23876  		1270240  		5007164  		6480244
	
1.000  			2.100			0.200			2532040  		2529103  		23876  		1270192  		5007196  		6480292
	
0.000  			2.100			0.200			2532040  		2529103  		23876  		1270396  		5006984  		6480080
	
1.000  			2.000			0.200			2532040  		2529103  		23876  		1270812  		5006568  		6479672
	
0.000  			2.000			0.200			2532040  		2529103  		23876  		1270208  		5007172  		6480276
	
1.000  			1.900			0.200			2532040  		2529103  		23876  		1270224  		5007156  		6480260
	
0.000  			1.800			0.200			2532040  		2529103  		23876  		1270172  		5007208  		6480312
	
0.000  			1.700			0.200			2532040  		2529103  		23876  		1270512  		5006860  		6479972
	
1.000  			1.700			0.200			2532040  		2529103  		23876  		1270060  		5007312  		6480424
	
0.000  			1.600			0.200			2532040  		2529103  		23876  		1270652  		5006720  		6479832
	
0.000  			1.600			0.200			2532040  		2529103  		23876  		1270496  		5006876  		6479988
	
0.000  			1.500			0.200			2532040  		2529103  		23876  		1270736  		5006636  		6479748
	
0.000  			1.500			0.200			2532040  		2529103  		23876  		1270776  		5006588  		6479708
	
0.000  			1.400			0.200			2532040  		2529103  		23876  		1270324  		5007040  		6480160
	
0.000  			1.400			0.200			2532040  		2529103  		23876  		1270456  		5006908  		6480028
	
0.000  			1.300			0.200			2532040  		2529103  		23876  		1270396  		5006968  		6480088
	
0.000  			1.300			0.200			2532040  		2529103  		23876  		1270528  		5006836  		6479956
	
0.000  			1.300			0.200			2532040  		2529103  		23876  		1270976  		5006396  		6479500
	
0.000  			1.200			0.200			2532040  		2529103  		23876  		1270844  		5006528  		6479640
	
0.000  			1.200			0.200			2532040  		2529103  		23876  		1270904  		5006468  		6479580
	
1.000  			1.200			0.200			2532040  		2529103  		23876  		1270852  		5006520  		6479632
	
0.000  			1.100			0.200			2532040  		2529103  		23876  		1270740  		5006632  		6479744
	
0.000  			1.100			0.200			2532040  		2529103  		23876  		1270844  		5006520  		6479632
	
0.000  			1.100			0.200			2532040  		2529103  		23876  		1270584  		5006780  		6479900
	
0.000  			1.100			0.200			2532040  		2529103  		23876  		1271264  		5006100  		6479220
	
0.000  			1.000			0.200			2532040  		2529103  		23876  		1270992  		5006372  		6479492
	
0.000  			1.000			0.200			2532040  		2529103  		23876  		1270884  		5006480  		6479600
	
0.000  			1.000			0.200			2532040  		2529103  		23876  		1270876  		5006488  		6479608
	
0.000  			1.000			0.200			2532040  		2529103  		23876  		1270244  		5007112  		6480240
	
0.971  			0.900			0.200			2532040  		2529103  		23876  		1270464  		5006892  		6480020
	
0.000  			0.900			0.200			2532040  		2529103  		23876  		1271020  		5006336  		6479464
	
0.000  			0.900			0.200			2532040  		2529103  		23876  		1270664  		5006692  		6479820
	
0.000  			0.900			0.200			2532040  		2529103  		23876  		1271176  		5006180  		6479308
	
1.000  			0.900			0.200			2532040  		2529103  		23876  		1271064  		5006280  		6479412
	
0.000  			0.900			0.200			2532040  		2529103  		23876  		1270808  		5006536  		6479676
	
0.000  			0.800			0.200			2532040  		2529103  		23876  		1270528  		5006816  		6479956
	
0.000  			0.800			0.200			2532040  		2529103  		23876  		1270816  		5006528  		6479668
	
0.000  			0.800			0.200			2532040  		2529103  		23876  		1271236  		5006108  		6479248
	
0.000  			0.800			0.200			2532628  		2529691  		24920  		1271808  		5005536  		6478676
	
0.000  			0.800			0.200			2532628  		2529691  		24920  		1272048  		5005288  		6478436
	
0.000  			0.800			0.200			2532628  		2529691  		24920  		1272180  		5005156  		6478304
	
0.000  			0.800			0.200			2532628  		2529691  		24920  		1271964  		5005372  		6478520
	
0.000  			0.700			0.200			2532628  		2529691  		24920  		1272048  		5005288  		6478436
	
0.000  			0.700			0.200			2532628  		2529691  		24920  		1272088  		5005248  		6478396
	
0.000  			0.700			0.200			2532628  		2529691  		24920  		1272148  		5005188  		6478336
	
0.000  			0.700			0.200			2532628  		2529691  		24920  		1271952  		5005376  		6478532
	
1.000  			0.700			0.200			2532628  		2529691  		24920  		1272248  		5005080  		6478236
	
0.000  			0.700			0.200			2532628  		2529691  		24920  		1271824  		5005504  		6478660
	
0.000  			0.700			0.200			2532628  		2529691  		24920  		1272048  		5005280  		6478436
	
