CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
0.000  			2.200			1.200			31068  		31046  		13136  		57004  		865468  		929436
	
8.902  			2.100			1.200			31068  		31046  		13136  		57108  		865364  		929332
	
4.980  			4.300			1.200			105940  		105918  		14136  		57596  		864876  		928844
	
4.913  			4.400			1.200			105940  		105918  		14136  		57068  		865404  		929372
	
4.942  			4.300			1.200			105940  		105918  		14136  		57048  		865424  		929392
	
3.000  			4.500			1.200			105940  		105918  		14136  		57284  		865180  		929156
	
4.961  			4.200			1.200			105940  		105918  		14136  		57268  		865188  		929172
	
3.980  			4.300			1.200			105940  		105918  		14136  		57340  		865116  		929100
	
4.971  			4.300			1.200			105940  		105918  		14136  		57232  		865224  		929208
	
4.961  			4.300			1.200			105940  		105918  		14136  		57356  		865092  		929076
	
5.980  			4.100			1.200			105940  		105918  		14136  		57324  		865124  		929108
	
3.980  			4.400			1.200			105940  		105918  		14136  		57496  		864952  		928944
	
5.942  			4.200			1.200			105940  		105918  		14136  		57440  		865000  		929000
	
4.000  			4.200			1.200			105940  		105918  		14136  		57504  		864928  		928936
	
2.971  			4.300			1.200			105940  		105918  		14136  		57248  		865184  		929192
	
3.942  			4.500			1.200			105940  		105918  		14136  		57520  		864896  		928920
	
4.942  			4.300			1.200			105940  		105918  		14136  		57596  		864812  		928844
	
5.913  			4.300			1.200			105940  		105918  		14136  		57536  		864872  		928904
	
4.942  			4.300			1.200			105940  		105918  		14136  		57600  		864792  		928840
	
6.913  			4.300			1.200			105940  		105918  		14136  		57612  		864768  		928824
	
3.942  			4.300			1.200			105940  		105918  		14136  		57608  		864760  		928832
	
3.971  			4.300			1.200			105940  		105918  		14136  		57732  		864636  		928708
	
4.942  			4.300			1.200			105940  		105918  		14136  		57792  		864568  		928648
	
4.000  			4.300			1.200			106072  		106050  		14136  		57828  		864524  		928604
	
2.971  			4.300			1.200			106204  		106182  		14136  		57920  		864432  		928520
	
3.971  			4.300			1.200			106204  		106182  		14136  		58096  		864240  		928344
	
5.913  			4.300			1.200			106204  		106182  		14136  		58028  		864308  		928412
	
2.000  			4.300			1.200			106204  		106182  		14136  		57892  		864436  		928548
	
5.913  			4.200			1.200			106204  		106182  		14136  		58048  		864264  		928384
	
3.971  			4.300			1.200			106204  		106182  		14136  		58248  		864056  		928192
	
2.971  			4.300			1.200			106204  		106182  		14136  		58212  		864084  		928228
	
4.961  			4.200			1.200			106204  		106182  		14136  		58200  		864096  		928240
	
4.961  			4.300			1.200			106204  		106182  		14136  		58340  		863940  		928100
	
4.971  			4.300			1.200			106204  		106182  		14136  		58508  		863764  		927924
	
3.971  			4.200			1.200			106204  		106182  		14136  		58524  		863740  		927908
	
3.913  			4.300			1.200			106204  		106182  		14136  		58520  		863736  		927912
	
2.971  			4.300			1.200			106204  		106182  		14136  		58624  		863624  		927816
	
4.942  			4.200			1.200			106204  		106182  		14136  		58688  		863552  		927752
	
2.942  			4.200			1.300			106204  		106182  		14364  		58548  		863692  		927892
	
3.971  			4.200			1.400			106204  		106182  		14592  		58712  		863512  		927728
	
2.971  			4.200			1.400			106204  		106182  		14592  		58876  		863340  		927564
	
4.000  			4.200			1.400			106204  		106182  		14592  		58728  		863488  		927712
	
3.942  			4.300			1.400			106204  		106182  		14592  		58948  		863260  		927492
	
4.971  			4.200			1.400			106204  		106182  		14592  		58752  		863440  		927688
	
3.000  			4.300			1.400			106204  		106182  		14592  		58960  		863224  		927480
	
2.971  			4.300			1.400			106204  		106182  		14592  		58992  		863184  		927448
	
4.971  			4.200			1.400			106204  		106182  		14592  		59048  		863120  		927392
	
4.942  			4.200			1.400			106204  		106182  		14592  		59020  		863140  		927420
	
5.971  			4.200			1.400			106204  		106182  		14592  		59008  		863144  		927432
	
4.942  			4.200			1.400			106332  		106310  		14652  		59212  		862928  		927228
	
4.971  			4.200			1.400			106332  		106310  		14652  		59232  		862900  		927208
	
