CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
1.000  			0.200			0.600			30940  		30918  		8628  		57032  		842488  		929408
	
1.971  			2.100			0.900			31068  		31046  		11176  		57368  		842152  		929072
	
2.000  			2.000			1.200			59284  		59262  		13680  		57392  		842128  		929048
	
0.000  			2.100			1.200			96720  		96698  		14208  		57072  		842448  		929368
	
0.000  			1.200			1.200			96720  		96698  		14208  		57092  		842428  		929348
	
1.000  			1.000			1.200			96720  		96698  		14208  		57204  		842316  		929236
	
0.971  			1.100			1.200			96720  		96698  		14208  		57120  		842400  		929320
	
1.000  			1.000			1.200			96720  		96698  		14208  		57144  		842376  		929296
	
0.980  			0.900			1.200			96720  		96698  		14208  		57068  		842452  		929372
	
0.000  			0.900			1.200			96720  		96698  		14208  		57136  		842384  		929304
	
0.971  			0.800			1.200			96720  		96698  		14208  		56928  		842592  		929512
	
0.971  			0.800			1.200			96720  		96698  		14208  		57012  		842508  		929428
	
0.000  			0.800			1.200			96720  		96698  		14208  		57200  		842320  		929240
	
0.000  			0.700			1.200			96720  		96698  		14208  		57192  		842328  		929248
	
0.000  			0.700			1.200			96720  		96698  		14208  		56980  		842540  		929460
	
0.971  			0.700			1.200			96720  		96698  		14208  		56988  		842532  		929452
	
1.000  			0.700			1.200			96720  		96698  		14208  		56944  		842576  		929496
	
0.000  			0.700			1.200			96720  		96698  		14208  		57100  		842420  		929340
	
0.000  			0.700			1.200			96720  		96698  		14208  		57016  		842504  		929424
	
1.000  			0.500			1.200			96720  		96698  		14208  		56932  		842588  		929508
	
0.000  			0.600			1.200			96720  		96698  		14208  		57132  		842388  		929308
	
0.980  			0.500			1.200			96720  		96698  		14208  		56956  		842564  		929484
	
0.000  			0.600			1.200			96720  		96698  		14208  		56980  		842540  		929460
	
1.000  			0.500			1.200			96720  		96698  		14208  		57020  		842500  		929420
	
0.000  			0.600			1.200			96720  		96698  		14208  		56964  		842556  		929476
	
1.000  			0.500			1.200			96720  		96698  		14208  		56928  		842600  		929512
	
0.000  			0.500			1.200			96720  		96698  		14208  		57112  		842416  		929328
	
0.000  			0.500			1.200			96720  		96698  		14208  		57060  		842468  		929380
	
0.980  			0.500			1.200			96720  		96698  		14208  		56972  		842556  		929468
	
0.000  			0.500			1.200			96720  		96698  		14208  		57040  		842488  		929400
	
1.000  			0.500			1.200			96720  		96698  		14208  		57004  		842524  		929436
	
0.971  			0.500			1.200			96720  		96698  		14208  		56972  		842556  		929468
	
0.000  			0.500			1.200			96720  		96698  		14208  		57100  		842428  		929340
	
0.000  			0.500			1.200			96720  		96698  		14208  		56868  		842660  		929572
	
1.000  			0.500			1.200			96720  		96698  		14208  		56888  		842640  		929552
	
0.000  			0.500			1.200			96720  		96698  		14208  		57340  		842188  		929100
	
0.971  			0.500			1.200			96720  		96698  		14208  		57068  		842460  		929372
	
0.000  			0.500			1.200			96720  		96698  		14208  		57032  		842496  		929408
	
0.980  			0.500			1.200			96720  		96698  		14208  		57032  		842496  		929408
	
1.000  			0.500			1.200			96720  		96698  		14208  		57060  		842468  		929380
	
0.000  			0.500			1.200			96720  		96698  		14208  		57060  		842468  		929380
	
0.000  			0.500			1.200			96720  		96698  		14208  		57092  		842436  		929348
	
0.980  			0.500			1.200			96720  		96698  		14208  		56900  		842628  		929540
	
1.000  			0.500			1.200			96720  		96698  		14208  		57092  		842436  		929348
	
0.000  			0.500			1.200			96720  		96698  		14208  		57052  		842476  		929388
	
0.971  			0.500			1.200			96720  		96698  		14208  		57152  		842376  		929288
	
0.000  			0.500			1.200			96720  		96698  		14208  		56864  		842672  		929576
	
1.000  			0.500			1.200			96720  		96698  		14208  		57112  		842424  		929328
	
0.000  			0.500			1.200			96720  		96698  		14208  		57188  		842348  		929252
	
0.000  			0.500			1.200			96720  		96698  		14208  		57036  		842500  		929404
	
