CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
104.000  			22.200			0.800			80016  		78395  		9360  		62040  		826404  		924400
	
104.000  			42.100			0.800			80016  		78395  		9360  		61996  		826440  		924444
	
103.000  			49.300			0.800			80016  		78395  		9360  		62036  		826400  		924404
	
103.000  			59.600			0.800			80016  		78395  		9360  		62004  		826432  		924436
	
103.000  			62.400			0.800			80016  		78395  		9360  		62004  		826432  		924436
	
103.000  			68.500			0.800			80016  		78395  		9360  		62040  		826388  		924400
	
103.000  			69.200			0.800			80016  		78395  		9360  		61956  		826472  		924484
	
103.000  			73.700			0.800			80016  		78395  		9360  		62116  		826312  		924324
	
103.000  			78.000			0.800			80016  		78395  		9360  		62032  		826396  		924408
	
103.000  			77.200			0.800			80016  		78395  		9360  		62044  		826376  		924396
	
103.000  			80.500			0.800			80016  		78395  		9360  		62008  		826412  		924432
	
103.000  			79.900			0.800			80016  		78395  		9360  		62048  		826372  		924392
	
103.000  			82.500			0.800			80016  		78395  		9360  		61984  		826436  		924456
	
103.883  			81.700			0.800			80016  		78395  		9360  		61896  		826516  		924544
	
103.971  			84.000			0.800			80016  		78395  		9360  		62020  		826392  		924420
	
103.000  			86.300			0.800			80016  		78395  		9360  		61900  		826512  		924540
	
103.000  			85.200			0.800			80016  		78395  		9360  		62100  		826312  		924340
	
103.000  			87.200			0.800			80016  		78395  		9360  		61892  		826520  		924548
	
103.000  			86.200			0.800			80016  		78395  		9360  		62100  		826304  		924340
	
104.000  			87.800			0.800			80016  		78395  		9360  		61924  		826480  		924516
	
103.000  			89.500			0.800			80016  		78395  		9360  		61856  		826548  		924584
	
103.000  			88.400			0.800			80016  		78395  		9360  		61928  		826464  		924512
	
103.000  			90.000			0.800			80016  		78395  		9360  		61860  		826532  		924580
	
103.000  			89.000			0.800			80016  		78395  		9360  		62048  		826344  		924392
	
103.000  			90.300			0.800			80016  		78395  		9360  		61924  		826468  		924516
	
103.000  			89.400			0.800			80016  		78395  		9360  		61972  		826412  		924468
	
103.000  			90.600			0.800			80016  		78395  		9360  		61984  		826400  		924456
	
103.000  			91.700			0.800			80016  		78395  		9360  		61980  		826404  		924460
	
104.000  			90.900			0.800			80016  		78395  		9360  		62156  		826228  		924284
	
102.000  			91.900			0.800			80016  		78395  		9360  		62048  		826336  		924392
	
104.000  			91.100			0.800			80016  		78395  		9360  		62080  		826296  		924360
	
103.000  			92.100			0.800			80016  		78395  		9360  		62056  		826320  		924384
	
103.000  			91.400			0.800			80016  		78395  		9360  		61996  		826380  		924444
	
103.000  			92.400			0.800			80016  		78395  		9360  		62056  		826320  		924384
	
