CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
0.000  			0.000			0.800			59056  		59035  		10944  		60672  		832560  		925736
	
0.000  			0.000			0.800			59056  		59035  		10944  		60760  		832464  		925648
	
0.000  			0.000			0.800			59056  		59035  		10944  		60872  		832352  		925536
	
0.000  			0.000			0.800			59056  		59035  		10944  		60744  		832480  		925664
	
0.000  			0.000			0.800			59056  		59035  		10944  		60740  		832480  		925668
	
0.000  			0.000			0.800			59056  		59035  		10944  		60664  		832548  		925744
	
0.000  			0.000			0.800			59056  		59035  		10944  		60700  		832512  		925708
	
0.000  			0.000			0.800			59056  		59035  		10944  		60632  		832580  		925776
	
0.000  			0.000			0.800			59056  		59035  		10944  		60732  		832480  		925676
	
0.000  			0.000			0.800			59056  		59035  		10944  		60624  		832588  		925784
	
0.000  			0.000			0.800			59056  		59035  		10944  		60684  		832528  		925724
	
0.000  			0.000			0.800			59056  		59035  		10944  		60660  		832552  		925748
	
0.980  			0.000			0.800			59056  		59035  		10944  		60672  		832540  		925736
	
0.000  			0.000			0.800			59056  		59035  		10944  		60648  		832564  		925760
	
0.000  			0.000			0.800			59056  		59035  		10944  		60672  		832540  		925736
	
0.000  			0.000			0.800			59056  		59035  		10944  		60688  		832524  		925720
	
0.000  			0.000			0.800			59056  		59035  		10944  		60640  		832572  		925768
	
0.000  			0.000			0.800			59056  		59035  		10944  		60528  		832684  		925880
	
1.000  			0.000			0.800			59056  		59035  		10944  		60560  		832652  		925848
	
0.000  			0.000			0.800			59056  		59035  		10944  		60648  		832564  		925760
	
0.000  			0.000			0.800			59056  		59035  		10944  		60528  		832684  		925880
	
0.000  			0.000			0.800			59056  		59035  		10944  		60564  		832648  		925844
	
0.000  			0.000			0.800			59056  		59035  		10944  		60656  		832556  		925752
	
0.000  			0.000			0.800			59056  		59035  		10944  		60852  		832352  		925552
	
0.000  			0.000			0.800			59056  		59035  		10944  		60916  		832288  		925492
	
0.971  			0.000			0.800			59056  		59035  		10944  		60908  		832296  		925500
	
0.000  			0.000			0.800			59188  		59167  		10944  		60764  		832440  		925644
	
0.000  			0.000			0.800			59188  		59167  		10944  		60940  		832264  		925468
	
0.000  			0.000			0.800			59188  		59167  		10944  		60916  		832288  		925492
	
0.000  			0.000			0.800			59188  		59167  		10944  		60760  		832444  		925648
	
0.000  			0.000			0.800			59188  		59167  		10944  		60960  		832244  		925448
	
0.000  			0.000			0.800			59188  		59167  		10944  		60772  		832424  		925636
	
0.000  			0.100			0.800			59188  		59167  		10944  		60788  		832408  		925620
	
0.000  			0.000			0.800			59188  		59167  		10944  		61120  		832076  		925288
	
0.000  			0.000			0.800			59188  		59167  		10944  		60960  		832236  		925448
	
0.000  			0.000			0.800			59188  		59167  		10944  		60992  		832204  		925416
	
0.000  			0.000			0.800			59188  		59167  		10944  		60976  		832220  		925432
	
0.000  			0.000			0.800			59188  		59167  		10944  		60984  		832212  		925424
	
0.971  			0.000			0.800			59188  		59167  		10944  		60960  		832236  		925448
	
0.000  			0.100			0.800			59188  		59167  		10944  		61020  		832176  		925388
	
1.000  			0.000			0.800			59188  		59167  		10944  		60984  		832212  		925424
	
0.000  			0.000			0.800			67384  		67363  		10944  		60824  		832372  		925584
	
0.000  			0.000			0.800			67384  		67363  		11016  		60900  		832296  		925508
	
0.000  			0.000			0.800			67384  		67363  		11016  		60924  		832272  		925484
	
0.000  			0.000			0.800			67384  		67363  		11016  		60824  		832372  		925584
	
0.971  			0.000			0.800			67384  		67363  		11016  		60880  		832316  		925528
	
0.000  			0.100			0.800			67384  		67363  		11016  		60804  		832392  		925604
	
0.000  			0.100			0.800			67384  		67363  		11016  		60828  		832368  		925580
	
0.971  			0.000			0.800			67384  		67363  		11016  		60924  		832264  		925484
	
0.000  			0.000			0.800			67384  		67363  		11016  		60960  		832228  		925448
	
0.000  			0.000			0.800			67384  		67363  		11016  		60896  		832288  		925512
	
0.971  			0.000			0.800			67384  		67363  		11016  		60956  		832228  		925452
	
0.000  			0.100			0.800			67384  		67363  		11016  		60956  		832228  		925452
	
0.000  			0.100			0.800			67384  		67363  		11016  		60872  		832312  		925536
	
0.000  			0.100			0.800			67384  		67363  		11016  		60964  		832220  		925444
	
0.000  			0.000			0.800			67384  		67363  		11016  		60852  		832324  		925556
	
0.000  			0.000			0.800			67384  		67363  		11016  		60756  		832420  		925652
	
0.000  			0.000			0.800			67384  		67363  		11016  		60932  		832244  		925476
	
0.000  			0.000			0.800			67384  		67363  		11016  		60888  		832288  		925520
	
0.000  			0.100			0.800			67384  		67363  		11016  		60888  		832288  		925520
	
0.000  			0.100			0.800			67384  		67363  		11016  		60864  		832312  		925544
	
0.000  			0.100			0.800			67384  		67363  		11016  		60888  		832288  		925520
	
0.000  			0.100			0.800			67384  		67363  		11016  		61008  		832168  		925400
	
0.000  			0.000			0.800			67384  		67363  		11016  		60912  		832264  		925496
	
0.980  			0.000			0.800			67384  		67363  		11016  		60956  		832212  		925452
	
0.000  			0.100			0.800			67384  		67363  		11016  		60752  		832416  		925656
	
0.000  			0.100			0.800			67384  		67363  		11016  		60708  		832460  		925700
	
0.000  			0.100			0.800			67384  		67363  		11016  		60980  		832188  		925428
	
0.000  			0.100			0.800			67384  		67363  		11016  		60972  		832196  		925436
	
