CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
0.000  			0.100			0.900			67252  		67231  		11244  		58680  		847964  		927736
	
0.000  			0.100			0.900			67252  		67231  		11244  		58980  		847640  		927436
	
0.000  			0.100			0.900			67252  		67231  		11244  		58900  		847708  		927516
	
0.000  			0.000			0.900			67252  		67231  		11244  		58952  		847656  		927464
	
0.000  			0.000			0.900			67252  		67231  		11244  		58812  		847792  		927604
	
0.000  			0.000			0.900			67252  		67231  		11244  		58900  		847704  		927516
	
0.000  			0.000			0.900			67252  		67231  		11244  		58912  		847692  		927504
	
0.000  			0.000			0.900			67252  		67231  		11244  		58972  		847632  		927444
	
0.000  			0.000			0.900			67252  		67231  		11244  		58948  		847656  		927468
	
0.000  			0.000			0.900			67252  		67231  		11244  		58828  		847776  		927588
	
0.000  			0.000			0.900			67252  		67231  		11244  		58832  		847772  		927584
	
0.000  			0.000			0.900			67252  		67231  		11244  		58880  		847724  		927536
	
0.000  			0.000			0.900			67252  		67231  		11244  		58984  		847620  		927432
	
0.000  			0.000			0.900			67252  		67231  		11244  		58836  		847760  		927580
	
0.000  			0.000			0.900			67252  		67231  		11244  		58932  		847664  		927484
	
0.000  			0.000			0.900			67252  		67231  		11244  		58924  		847672  		927492
	
0.000  			0.000			0.900			67252  		67231  		11244  		58880  		847716  		927536
	
0.000  			0.000			0.900			67252  		67231  		11244  		58896  		847700  		927520
	
0.000  			0.000			0.900			67252  		67231  		11244  		58836  		847760  		927580
	
0.000  			0.000			0.900			67252  		67231  		11244  		58916  		847680  		927500
	
0.000  			0.000			0.900			67252  		67231  		11244  		59092  		847504  		927324
	
0.000  			0.000			0.900			67252  		67231  		11244  		58976  		847620  		927440
	
0.000  			0.000			0.900			67252  		67231  		11244  		58700  		847896  		927716
	
0.000  			0.000			0.900			67252  		67231  		11244  		58932  		847664  		927484
	
0.000  			0.000			0.900			67252  		67231  		11244  		58964  		847632  		927452
	
0.000  			0.000			0.900			67252  		67231  		11244  		58848  		847748  		927568
	
1.000  			0.000			0.900			67252  		67231  		11244  		58784  		847812  		927632
	
0.000  			0.000			0.900			67252  		67231  		11244  		58948  		847648  		927468
	
0.000  			0.000			0.900			67252  		67231  		11244  		58856  		847740  		927560
	
0.000  			0.000			0.900			67252  		67231  		11244  		58932  		847664  		927484
	
