CPUProc			CPU  			MEM  			VSZ		DRS		RSS		USED		FREE		AVAILABLE	
0.000  			0.100			0.900			49400		49379		10796		60708		843080		925712
	
0.971  			0.100			0.900			49400		49379		10796		60568		843220		925852
	
0.000  			0.100			0.900			49400		49379		10796		60684		843104		925736
	
0.000  			0.100			0.900			49400		49379		10796		60700		843088		925720
	
0.000  			0.100			0.900			49400		49379		10796		60744		843036		925668
	
0.971  			0.100			0.900			49400		49379		10796		60636		843144		925784
	
0.000  			0.100			0.900			49532		49511		10796		60624		843148		925796
	
0.000  			0.100			0.900			49532		49511		10796		60708		843064		925712
	
1.000  			0.100			0.900			49532		49511		10796		60592		843180		925828
	
0.000  			0.100			0.900			49532		49511		10796		60692		843080		925728
	
0.000  			0.100			0.900			49532		49511		10796		60684		843088		925736
	
0.000  			0.100			0.900			49532		49511		10796		60752		843020		925668
	
0.000  			0.100			0.900			49532		49511		10796		60632		843140		925788
	
0.971  			0.100			0.900			49532		49511		10796		60648		843124		925772
	
0.000  			0.100			0.900			49532		49511		10796		60516		843256		925904
	
0.000  			0.100			0.900			49532		49511		10796		60684		843088		925736
	
0.000  			0.100			0.900			49532		49511		10796		60680		843088		925740
	
0.000  			0.100			0.900			49532		49511		10796		60788		842980		925632
	
1.000  			0.100			0.900			49532		49511		10796		60636		843132		925784
	
0.000  			0.100			0.900			49532		49511		10796		60696		843072		925724
	
0.000  			0.100			0.900			49532		49511		10796		60804		842956		925616
	
0.000  			0.100			0.900			49532		49511		10796		60712		843048		925708
	
0.000  			0.100			0.900			49532		49511		10796		60652		843108		925768
	
0.000  			0.100			0.900			49532		49511		10796		60496		843264		925924
	
0.000  			0.100			0.900			49532		49511		10796		60712		843048		925708
	
1.000  			0.100			0.900			49532		49511		10796		60876		842880		925544
	
0.000  			0.100			0.900			49532		49511		10796		60828		842928		925592
	
1.000  			0.100			0.900			49532		49511		10796		61020		842736		925400
	
0.000  			0.100			0.900			49532		49511		10796		61092		842664		925328
	
0.000  			0.100			0.900			49532		49511		10796		61020		842736		925400
	
0.000  			0.100			0.900			49532		49511		10796		60960		842796		925460
	
0.000  			0.100			0.900			49532		49511		10796		60960		842796		925460
	
0.971  			0.100			0.900			49532		49511		11152		60864		842892		925556
	
0.000  			0.100			0.900			49532		49511		11152		61156		842592		925264
	
0.000  			0.100			0.900			49532		49511		11152		60968		842780		925452
	
0.000  			0.100			0.900			49532		49511		11152		60748		843000		925672
	
1.000  			0.100			0.900			49532		49511		11152		60960		842788		925460
	
0.000  			0.100			0.900			49532		49511		11152		60796		842952		925624
	
0.980  			0.100			0.900			49532		49511		11152		60756		842992		925664
	
0.000  			0.100			0.900			49532		49511		11152		60832		842916		925588
	
0.000  			0.100			0.900			49532		49511		11152		60764		842984		925656
	
1.000  			0.100			0.900			49532		49511		11152		61008		842736		925412
	
0.000  			0.100			0.900			49532		49511		11152		60940		842804		925480
	
0.000  			0.100			0.900			49532		49511		11152		60980		842764		925440
	
0.000  			0.100			0.900			49532		49511		11152		61024		842720		925396
	
1.000  			0.100			0.900			49532		49511		11152		60956		842788		925464
	
0.980  			0.100			0.900			49532		49511		11152		60964		842780		925456
	
0.000  			0.100			0.900			49532		49511		11152		61032		842704		925388
	
0.000  			0.100			0.900			49532		49511		11152		60964		842772		925456
	
0.000  			0.100			0.900			49532		49511		11152		60968		842764		925452
	
0.000  			0.100			0.900			49532		49511		11152		61028		842704		925392
	
1.000  			0.100			0.900			49532		49511		11152		60896		842836		925524
	
0.000  			0.100			0.900			49532		49511		11152		61020		842712		925400
	
0.000  			0.100			0.900			49532		49511		11152		60928		842804		925492
	
0.000  			0.100			0.900			49532		49511		11152		60884		842848		925536
	
0.980  			0.100			0.900			49532		49511		11152		61040		842692		925380
	
0.000  			0.100			0.900			49532		49511		11152		61004		842728		925416
	
1.000  			0.100			0.900			49532		49511		11152		60964		842764		925456
	
0.000  			0.100			0.900			49532		49511		11152		60888		842836		925532
	
0.000  			0.100			0.900			49532		49511		11152		61064		842660		925356
	
0.000  			0.100			0.900			49532		49511		11152		60960		842756		925460
	
