CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
1.000  			1.400			0.900			68404  		68383  		11288  		59396  		847096  		927020
	
1.971  			1.400			0.900			68404  		68383  		11288  		59224  		847264  		927192
	
1.000  			1.400			0.900			68404  		68383  		11288  		59368  		847120  		927048
	
2.980  			1.300			0.900			68404  		68383  		11288  		59308  		847168  		927108
	
1.000  			1.500			0.900			68404  		68383  		11288  		59208  		847260  		927208
	
1.000  			1.500			0.900			68404  		68383  		11288  		59200  		847268  		927216
	
0.980  			1.500			0.900			68536  		68515  		11288  		59372  		847096  		927044
	
1.000  			1.400			0.900			68536  		68515  		11288  		59344  		847112  		927072
	
2.942  			1.500			0.900			68536  		68515  		11288  		59316  		847132  		927100
	
1.971  			1.500			0.900			68536  		68515  		11288  		59296  		847152  		927120
	
0.971  			1.500			0.900			68536  		68515  		11288  		59564  		846884  		926852
	
1.971  			1.500			0.900			68536  		68515  		11288  		59336  		847100  		927080
	
1.000  			1.500			0.900			68536  		68515  		11288  		59396  		847040  		927020
	
2.942  			1.400			0.900			68536  		68515  		11288  		59464  		846972  		926952
	
0.980  			1.500			0.900			68536  		68515  		11288  		59648  		846780  		926768
	
1.000  			1.500			0.900			68536  		68515  		11288  		59836  		846588  		926580
	
1.980  			1.500			0.900			68536  		68515  		11288  		59720  		846704  		926696
	
3.000  			1.400			0.900			68536  		68515  		11288  		59668  		846756  		926748
	
1.000  			1.500			0.900			68536  		68515  		11288  		59816  		846600  		926600
	
1.000  			1.500			0.900			68536  		68515  		11288  		59700  		846716  		926716
	
1.980  			1.500			1.000			68536  		68515  		11344  		59872  		846544  		926544
	
2.000  			1.400			1.000			68536  		68515  		11344  		59912  		846496  		926504
	
1.000  			1.500			1.000			68536  		68515  		11344  		59860  		846548  		926556
	
1.980  			1.500			1.000			68536  		68515  		11344  		59988  		846420  		926428
	
1.980  			1.400			1.000			68536  		68515  		11344  		59892  		846516  		926524
	
1.000  			1.400			1.000			68536  		68515  		11344  		59848  		846552  		926568
	
2.980  			1.400			1.000			68536  		68515  		11344  		59992  		846408  		926424
	
1.980  			1.500			1.000			68536  		68515  		11344  		59904  		846496  		926512
	
2.942  			1.400			1.000			68536  		68515  		11344  		60056  		846344  		926360
	
1.000  			1.500			1.000			68536  		68515  		11344  		60028  		846360  		926388
	
0.980  			1.500			1.000			68536  		68515  		11344  		59996  		846392  		926420
	
2.000  			1.500			1.000			68536  		68515  		11344  		60100  		846288  		926316
	
1.000  			1.400			1.000			68536  		68515  		11344  		60128  		846252  		926288
	
1.000  			1.400			1.000			68536  		68515  		11344  		60136  		846244  		926280
	
1.971  			1.400			1.000			68536  		68515  		11344  		60148  		846232  		926268
	
1.971  			1.500			1.000			68536  		68515  		11344  		60008  		846360  		926408
	
0.971  			1.400			1.000			68536  		68515  		11344  		60304  		846064  		926112
	
