CPUProc				CPU				MEM				VSZ		DRS		RSS		USED		FREE		AVAILABLE	
0.000				0.000				0.900				49400		49379		10744		57880		847652		928548
	
0.000				0.000				0.900				49400		49379		10744		57500		848012		928920
	
0.000				0.000				0.900				49400		49379		10744		57832		847680		928596
	
0.000				0.000				0.900				49400		49379		10744		58128		847384		928300
	
0.000				0.000				0.900				49400		49379		10744		58100		847412		928328
	
0.971				0.000				0.900				49400		49379		10744		58084		847428		928344
	
0.000				0.000				0.900				49400		49379		10744		58024		847488		928404
	
0.000				0.000				0.900				49400		49379		10744		58000		847512		928428
	
0.000				0.000				0.900				49400		49379		10744		58024		847488		928404
	
0.000				0.000				0.900				49400		49379		10744		58000		847512		928428
	
0.000				0.000				0.900				49400		49379		10744		58012		847500		928416
	
0.000				0.000				0.900				49400		49379		10744		58136		847376		928292
	
0.000				0.000				0.900				49400		49379		10744		58024		847488		928404
	
0.000				0.000				0.900				49400		49379		10744		58112		847400		928316
	
0.000				0.000				0.900				49400		49379		10744		57908		847604		928520
	
0.000				0.000				0.900				49400		49379		10744		58000		847512		928428
	
0.000				0.000				0.900				49400		49379		10744		57896		847616		928532
	
0.000				0.000				0.900				49400		49379		10744		57880		847632		928548
	
0.000				0.000				0.900				49400		49379		10744		57896		847608		928532
	
0.000				0.000				0.900				49400		49379		10744		58024		847480		928404
	
0.000				0.000				0.900				49400		49379		10744		57904		847596		928524
	
0.000				0.000				0.900				49400		49379		10744		58056		847444		928372
	
1.000				0.000				0.900				49400		49379		10744		57952		847548		928476
	
0.000				0.000				0.900				49400		49379		10744		58060		847440		928368
	
0.000				0.000				0.900				49400		49379		10744		57996		847504		928432
	
0.000				0.000				0.900				49400		49379		10744		57956		847536		928464
	
0.000				0.000				0.900				49400		49379		10744		58092		847400		928336
	
0.000				0.000				0.900				49400		49379		10744		57944		847548		928484
	
0.000				0.000				0.900				49400		49379		10744		57944		847548		928484
	
0.000				0.000				0.900				49400		49379		10744		57972		847520		928456
	
0.971				0.000				0.900				49532		49511		10744		57928		847564		928500
	
0.000				0.000				0.900				49532		49511		10744		58100		847392		928328
	
0.000				0.000				0.900				49532		49511		10744		58192		847300		928236
	
0.000				0.000				0.900				49532		49511		10744		58124		847368		928304
	
0.000				0.000				0.900				49532		49511		10744		58040		847452		928388
	
0.000				0.000				0.900				49532		49511		10744		58004		847488		928424
	
0.000				0.000				0.900				49532		49511		10744		58080		847412		928348
	
0.000				0.000				0.900				49532		49511		10744		58012		847480		928416
	
0.000				0.000				0.900				49532		49511		10744		58116		847376		928312
	
0.000				0.000				0.900				49532		49511		10744		58064		847428		928364
	
0.000				0.000				0.900				49532		49511		10744		57996		847496		928432
	
0.000				0.000				0.900				49532		49511		10744		57912		847580		928516
	
0.000				0.000				0.900				49532		49511		10744		58004		847488		928424
	
0.000				0.000				0.900				49532		49511		10744		58036		847456		928392
	
0.000				0.000				0.900				49532		49511		10744		58084		847408		928344
	
0.971				0.000				0.900				49532		49511		10744		58108		847384		928320
	
0.000				0.000				0.900				49532		49511		10744		57960		847532		928468
	
0.000				0.000				0.900				49532		49511		10744		57832		847660		928596
	
0.000				0.000				0.900				49532		49511		10744		58056		847436		928372
	
0.000				0.000				0.900				49532		49511		10744		57940		847552		928488
	
0.000				0.000				0.900				49532		49511		10744		58152		847336		928276
	
0.000				0.000				0.900				49532		49511		10744		58112		847376		928316
	
0.971				0.000				0.900				49532		49511		10744		58052		847436		928376
	
0.000				0.000				0.900				49532		49511		10744		57968		847520		928460
	
0.000				0.000				0.900				49532		49511		10744		58052		847436		928376
	
0.000				0.000				0.900				49532		49511		10744		57992		847496		928436
	
0.000				0.000				0.900				49532		49511		10744		57624		847864		928804
	
0.971				0.000				0.900				49532		49511		10744		57960		847524		928468
	
0.000				0.000				0.900				49532		49511		10744		58080		847396		928348
	
1.000				0.000				0.900				49532		49511		10744		58156		847320		928272
	
0.000				0.000				0.900				49532		49511		10744		58080		847396		928348
	
0.000				0.000				0.900				49532		49511		10744		57968		847500		928460
	
0.000				0.000				0.900				49532		49511		10744		58192		847276		928236
	
1.000				0.000				0.900				49532		49511		10744		58088		847380		928340
	
0.000				0.000				0.900				49532		49511		10744		58032		847436		928396
	
0.000				0.000				0.900				49532		49511		10744		58028		847440		928400
	
0.000				0.000				0.900				49532		49511		10744		57964		847496		928464
	
0.000				0.000				0.900				49532		49511		10744		58052		847408		928376
	
0.000				0.000				0.900				49532		49511		10744		58116		847344		928312
	
0.000				0.000				0.900				49532		49511		10744		57988		847472		928440
	
0.000				0.000				0.900				49532		49511		10744		58040		847420		928388
	
0.980				0.000				0.900				49532		49511		10744		57972		847488		928456
	
0.000				0.000				0.900				49532		49511		10744		57920		847540		928508
	
0.000				0.000				0.900				49532		49511		10744		57984		847476		928444
	
0.000				0.000				0.900				49532		49511		10744		58052		847408		928376
	
0.000				0.000				0.900				49532		49511		10744		58116		847344		928312
	
0.000				0.000				0.900				49532		49511		10744		57984		847476		928444
	
0.000				0.000				0.900				49532		49511		10744		58056		847404		928372
	
0.000				0.000				0.900				49532		49511		10744		58092		847368		928336
	
0.000				0.000				0.900				49532		49511		10744		58076		847384		928352
	
0.000				0.000				0.900				49532		49511		10744		58008		847452		928420
	
0.000				0.000				0.900				49532		49511		10744		58100		847360		928328
	
0.000				0.000				0.900				49532		49511		10744		58072		847388		928356
	
0.971				0.000				0.900				49532		49511		10744		57904		847556		928524
	
0.000				0.000				0.900				49532		49511		10744		58056		847404		928372
	
0.000				0.000				0.900				49532		49511		10744		57988		847472		928440
	
0.000				0.000				0.900				49532		49511		10744		57948		847512		928480
	
0.000				0.000				0.900				49532		49511		10744		58040		847420		928388
	
0.000				0.000				0.900				49532		49511		10744		58132		847328		928296
	
0.000				0.000				0.900				49532		49511		10744		58020		847440		928408
	
0.000				0.000				0.900				49532		49511		10744		58176		847284		928252
	
0.000				0.000				0.900				49532		49511		10744		58032		847428		928396
	
0.000				0.000				0.900				49532		49511		10744		58048		847412		928380
	
1.000				0.000				0.900				49532		49511		10744		58024		847436		928404
	
0.000				0.000				0.900				49532		49511		10744		58088		847372		928340
	
0.000				0.000				0.900				49532		49511		10744		58020		847440		928408
	
0.000				0.000				0.900				49532		49511		10744		58088		847372		928340
	
0.000				0.000				0.900				49532		49511		10744		58076		847380		928352
	
0.000				0.000				0.900				49532		49511		10744		58016		847440		928412
	
0.000				0.000				0.900				49532		49511		10744		58016		847440		928412
	
0.000				0.000				0.900				49532		49511		10744		58068		847388		928360
	
0.000				0.000				0.900				49532		49511		10744		57956		847500		928472
	
0.000				0.000				0.900				49532		49511		10744		57992		847464		928436
	
0.000				0.000				0.900				49532		49511		10744		57956		847500		928472
	
0.000				0.000				0.900				49532		49511		10744		58076		847380		928352
	
0.000				0.000				0.900				49532		49511		10744		58076		847380		928352
	
0.000				0.000				0.900				49532		49511		10744		57960		847496		928468
	
0.000				0.000				0.900				49532		49511		10744		58136		847320		928292
	
1.961				0.000				0.900				49532		49511		10744		58076		847380		928352
	
0.000				0.000				0.900				49532		49511		10744		58028		847428		928400
	
0.000				0.000				0.900				49532		49511		10744		58016		847440		928412
	
0.000				0.000				0.900				49532		49511		10744		58016		847440		928412
	
0.000				0.000				0.900				49532		49511		10744		58112		847344		928316
	
0.000				0.000				0.900				49532		49511		10744		58088		847360		928340
	
0.000				0.000				0.900				49532		49511		10744		58192		847252		928236
	
0.000				0.000				0.900				49532		49511		10744		58148		847296		928280
	
0.000				0.000				0.900				49532		49511		10744		57832		847612		928596
	
0.000				0.000				0.900				49532		49511		10744		58132		847304		928296
	
0.000				0.000				0.900				49532		49511		10744		57984		847452		928444
	
0.000				0.000				0.900				49532		49511		10744		58072		847364		928356
	
