CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
2.000  			0.200			0.900			49532  		49511  		10824  		61224  		842324  		925196
	
0.000  			0.200			0.900			49532  		49511  		10824  		61080  		842468  		925340
	
0.971  			0.200			0.900			49532  		49511  		10824  		61080  		842468  		925340
	
0.000  			0.200			0.900			49532  		49511  		10824  		60940  		842608  		925480
	
0.000  			0.200			0.900			49532  		49511  		10824  		60896  		842652  		925524
	
0.971  			0.200			0.900			49532  		49511  		10824  		61020  		842520  		925400
	
0.000  			0.200			0.900			49532  		49511  		10824  		61104  		842436  		925316
	
0.000  			0.200			0.900			49532  		49511  		10824  		61096  		842444  		925324
	
1.000  			0.200			0.900			49532  		49511  		10824  		61080  		842460  		925340
	
0.000  			0.200			0.900			49532  		49511  		10824  		61104  		842436  		925316
	
0.000  			0.200			0.900			49532  		49511  		10824  		61052  		842480  		925368
	
0.000  			0.200			0.900			49532  		49511  		10824  		61052  		842480  		925368
	
0.000  			0.200			0.900			49532  		49511  		10824  		61104  		842428  		925316
	
0.000  			0.200			0.900			49532  		49511  		10824  		61080  		842452  		925340
	
1.000  			0.200			0.900			49532  		49511  		10824  		61148  		842384  		925272
	
0.980  			0.200			0.900			49532  		49511  		10824  		61012  		842520  		925408
	
0.000  			0.200			0.900			49532  		49511  		10824  		61096  		842436  		925324
	
0.000  			0.200			0.900			49532  		49511  		11064  		61124  		842396  		925296
	
1.000  			0.200			0.900			49532  		49511  		11064  		61092  		842428  		925328
	
0.980  			0.200			0.900			49532  		49511  		11064  		61072  		842448  		925348
	
0.000  			0.200			0.900			49532  		49511  		11064  		61084  		842436  		925336
	
1.000  			0.200			0.900			49532  		49511  		11064  		61176  		842344  		925244
	
0.000  			0.200			0.900			49532  		49511  		11064  		60960  		842560  		925460
	
1.000  			0.200			0.900			49532  		49511  		11064  		61012  		842504  		925408
	
0.000  			0.200			0.900			49532  		49511  		11064  		61104  		842412  		925316
	
0.000  			0.200			0.900			49532  		49511  		11064  		61004  		842512  		925416
	
0.000  			0.200			0.900			49532  		49511  		11064  		61104  		842412  		925316
	
1.000  			0.200			0.900			49532  		49511  		11064  		61264  		842252  		925156
	
0.971  			0.200			0.900			49532  		49511  		11064  		60972  		842544  		925448
	
0.000  			0.200			0.900			49532  		49511  		11064  		61172  		842344  		925248
	
0.000  			0.200			0.900			49532  		49511  		11064  		61200  		842312  		925220
	
0.000  			0.200			0.900			49532  		49511  		11064  		61068  		842444  		925352
	
1.000  			0.200			0.900			49532  		49511  		11064  		61184  		842328  		925236
	
0.971  			0.200			0.900			49532  		49511  		11064  		61124  		842388  		925296
	
0.000  			0.200			0.900			49532  		49511  		11064  		61080  		842432  		925340
	
0.000  			0.200			0.900			49532  		49511  		11064  		61184  		842328  		925236
	
0.000  			0.200			0.900			49532  		49511  		11064  		61208  		842304  		925212
	
0.971  			0.200			0.900			49532  		49511  		11064  		61016  		842496  		925404
	
0.000  			0.200			0.900			49532  		49511  		11064  		61208  		842304  		925212
	
0.000  			0.200			0.900			49532  		49511  		11064  		61276  		842236  		925144
	
0.000  			0.200			0.900			49532  		49511  		11064  		61132  		842380  		925288
	
0.000  			0.200			0.900			49532  		49511  		11064  		61180  		842332  		925240
	
0.980  			0.200			0.900			49532  		49511  		11064  		61156  		842356  		925264
	
0.000  			0.200			0.900			49532  		49511  		11064  		61192  		842320  		925228
	
0.971  			0.200			0.900			49532  		49511  		11064  		61216  		842296  		925204
	
0.971  			0.200			0.900			49532  		49511  		11064  		61164  		842348  		925256
	
0.980  			0.200			0.900			49532  		49511  		11064  		61444  		842060  		924976
	
0.000  			0.200			0.900			49532  		49511  		11064  		61240  		842264  		925180
	
0.000  			0.200			0.900			49532  		49511  		11064  		61276  		842228  		925144
	
0.000  			0.200			0.900			49532  		49511  		11064  		61176  		842328  		925244
	
1.000  			0.200			0.900			49532  		49511  		11064  		61232  		842268  		925188
	
0.980  			0.200			0.900			49532  		49511  		11064  		61176  		842324  		925244
	
0.000  			0.200			0.900			49532  		49511  		11064  		61364  		842124  		925056
	
0.000  			0.200			0.900			49532  		49511  		11064  		61280  		842208  		925140
	
1.000  			0.200			0.900			49532  		49511  		11064  		61252  		842228  		925168
	
1.000  			0.200			0.900			49532  		49511  		11064  		61324  		842156  		925096
	
0.000  			0.200			0.900			49532  		49511  		11064  		61288  		842184  		925132
	
0.971  			0.200			0.900			49532  		49511  		11064  		61280  		842192  		925140
	
0.000  			0.200			0.900			49532  		49511  		11064  		61240  		842232  		925180
	
0.000  			0.200			0.900			49532  		49511  		11064  		61384  		842084  		925036
	
0.000  			0.200			0.900			49532  		49511  		11064  		61212  		842256  		925208
	
0.000  			0.200			0.900			49532  		49511  		11064  		61284  		842192  		925136
	
0.000  			0.200			0.900			49532  		49511  		11064  		61288  		842188  		925132
	
0.980  			0.200			0.900			49532  		49511  		11064  		61272  		842204  		925148
	
0.000  			0.200			0.900			49532  		49511  		11064  		61404  		842072  		925016
	
0.000  			0.200			0.900			49532  		49511  		11064  		61332  		842144  		925088
	
0.000  			0.200			0.900			49532  		49511  		11064  		61188  		842280  		925232
	
0.000  			0.200			0.900			49532  		49511  		11064  		61232  		842236  		925188
	
0.000  			0.200			0.900			49532  		49511  		11064  		61420  		842044  		925000
	
0.980  			0.200			0.900			49532  		49511  		11064  		61264  		842200  		925156
	
0.000  			0.200			0.900			49532  		49511  		11064  		61404  		842060  		925016
	
0.000  			0.200			0.900			49532  		49511  		11064  		61236  		842228  		925184
	
0.971  			0.200			0.900			49532  		49511  		11064  		61376  		842088  		925044
	
0.000  			0.200			0.900			49532  		49511  		11064  		61020  		842444  		925400
	
0.980  			0.200			0.900			49532  		49511  		11064  		61260  		842204  		925160
	
0.000  			0.200			0.900			49532  		49511  		11064  		61368  		842096  		925052
	
0.980  			0.200			0.900			49532  		49511  		11064  		61432  		842020  		924988
	
0.000  			0.200			0.900			49532  		49511  		11064  		61360  		842088  		925056
	
0.000  			0.200			0.900			49532  		49511  		11064  		61116  		842328  		925300
	
0.000  			0.200			0.900			49532  		49511  		11064  		61472  		841972  		924944
	
0.000  			0.200			0.900			49532  		49511  		11064  		61208  		842236  		925212
	
1.000  			0.200			0.900			49532  		49511  		11064  		61192  		842252  		925228
	
0.000  			0.200			0.900			49532  		49511  		11064  		61356  		842088  		925064
	
0.000  			0.200			0.900			49532  		49511  		11064  		61280  		842160  		925140
	
0.000  			0.200			0.900			49532  		49511  		11064  		61356  		842084  		925064
	
0.000  			0.200			0.900			49532  		49511  		11064  		61424  		842016  		924996
	
0.971  			0.200			0.900			49532  		49511  		11064  		61196  		842244  		925224
	
0.000  			0.200			0.900			49532  		49511  		11064  		61232  		842208  		925188
	
0.000  			0.200			0.900			49532  		49511  		11064  		61324  		842116  		925096
	
0.000  			0.200			0.900			49532  		49511  		11064  		61356  		842084  		925064
	
0.000  			0.200			0.900			49532  		49511  		11064  		61288  		842152  		925132
	
0.000  			0.200			0.900			49532  		49511  		11064  		61512  		841928  		924908
	
0.971  			0.200			0.900			49532  		49511  		11064  		61448  		841992  		924972
	
0.000  			0.200			0.900			49532  		49511  		11064  		61520  		841920  		924900
	
0.000  			0.200			0.900			49532  		49511  		11064  		61384  		842056  		925036
	
1.000  			0.200			0.900			49532  		49511  		11064  		61408  		842032  		925012
	
0.000  			0.200			0.900			49532  		49511  		11064  		61444  		841996  		924976
	
0.971  			0.200			0.900			49532  		49511  		11064  		61428  		842012  		924992
	
0.000  			0.200			0.900			49532  		49511  		11064  		61400  		842040  		925020
	
0.000  			0.200			0.900			49532  		49511  		11064  		61480  		841960  		924940
	
1.000  			0.200			0.900			49532  		49511  		11064  		61444  		841996  		924976
	
0.000  			0.200			0.900			49532  		49511  		11064  		61600  		841828  		924820
	
0.000  			0.200			0.900			49532  		49511  		11064  		61488  		841940  		924932
	
0.000  			0.200			0.900			49532  		49511  		11064  		61532  		841896  		924888
	
1.000  			0.200			0.900			49532  		49511  		11064  		61540  		841888  		924880
	
0.000  			0.200			0.900			49532  		49511  		11064  		61452  		841976  		924968
	
0.000  			0.200			0.900			49532  		49511  		11064  		61420  		842000  		925000
	
0.000  			0.200			0.900			49532  		49511  		11064  		61548  		841872  		924872
	
0.000  			0.200			0.900			49664  		49643  		11064  		61364  		842056  		925056
	
0.000  			0.200			0.900			49664  		49643  		11064  		61540  		841880  		924880
	
0.000  			0.200			0.900			49664  		49643  		11064  		61592  		841828  		924828
	
0.000  			0.200			0.900			49664  		49643  		11064  		61412  		842008  		925008
	
0.000  			0.200			0.900			49664  		49643  		11064  		61556  		841864  		924864
	
0.000  			0.200			0.900			49664  		49643  		11064  		61500  		841920  		924920
	
1.000  			0.200			0.900			49664  		49643  		11064  		61412  		842008  		925008
	
0.000  			0.200			0.900			49664  		49643  		11064  		61540  		841880  		924880
	
0.000  			0.200			0.900			49664  		49643  		11064  		61532  		841888  		924888
	
0.000  			0.200			0.900			49664  		49643  		11064  		61304  		842116  		925116
	
0.971  			0.200			0.900			49664  		49643  		11064  		61556  		841864  		924864
	
0.000  			0.200			0.900			49664  		49643  		11064  		61412  		842008  		925008
	
