CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
0.000  			0.800			0.900			81412  		79791  		10620  		61076  		858672  		925360
	
0.000  			0.800			0.900			81412  		79791  		10620  		61024  		858616  		925412
	
0.000  			0.800			0.900			81412  		79791  		10620  		60876  		858764  		925560
	
0.000  			0.800			0.900			81412  		79791  		10620  		60836  		858804  		925600
	
1.000  			0.800			0.900			81412  		79791  		10620  		60924  		858708  		925508
	
0.000  			0.700			0.900			81412  		79791  		10620  		60920  		858704  		925516
	
0.000  			0.700			0.900			81412  		79791  		10620  		60908  		858716  		925528
	
0.962  			0.700			0.900			81412  		79791  		10620  		61040  		858584  		925396
	
0.000  			0.700			0.900			81412  		79791  		10620  		60972  		858652  		925464
	
0.000  			0.700			0.900			81412  		79791  		10620  		60912  		858712  		925524
	
0.000  			0.700			0.900			81412  		79791  		10620  		60940  		858676  		925496
	
0.000  			0.700			0.900			81412  		79791  		10620  		61008  		858608  		925428
	
0.000  			0.700			0.900			81412  		79791  		10620  		60924  		858692  		925512
	
0.000  			0.700			0.900			81412  		79791  		10620  		60788  		858828  		925648
	
0.000  			0.700			0.900			81412  		79791  		10620  		60948  		858668  		925488
	
0.000  			0.700			0.900			81412  		79791  		10620  		60904  		858712  		925532
	
0.000  			0.700			0.900			81412  		79791  		10620  		60972  		858644  		925464
	
0.000  			0.700			0.900			81412  		79791  		10620  		60780  		858836  		925656
	
0.000  			0.700			0.900			81412  		79791  		10620  		61032  		858584  		925404
	
0.000  			0.700			0.900			81412  		79791  		10620  		60864  		858752  		925572
	
0.000  			0.700			0.900			81412  		79791  		10620  		60932  		858684  		925504
	
0.000  			0.700			0.900			81412  		79791  		10620  		60900  		858716  		925536
	
0.000  			0.700			0.900			81412  		79791  		10620  		60804  		858812  		925632
	
0.000  			0.700			0.900			81412  		79791  		10620  		60912  		858704  		925524
	
0.000  			0.700			0.900			81412  		79791  		10620  		60892  		858724  		925544
	
0.000  			0.700			0.900			81412  		79791  		10620  		60948  		858668  		925488
	
0.000  			0.700			0.900			81412  		79791  		10620  		61124  		858492  		925312
	
0.000  			0.700			0.900			81412  		79791  		10620  		60972  		858644  		925464
	
0.000  			0.700			0.900			81412  		79791  		10620  		60976  		858640  		925460
	
0.000  			0.600			0.900			81412  		79791  		10620  		61004  		858612  		925432
	
0.000  			0.600			0.900			81412  		79791  		10620  		60904  		858712  		925532
	
0.000  			0.600			0.900			81412  		79791  		10620  		61072  		858544  		925364
	
0.000  			0.600			0.900			81412  		79791  		10620  		60916  		858708  		925520
	
0.000  			0.600			0.900			81412  		79791  		10620  		60856  		858768  		925580
	
0.000  			0.600			0.900			81412  		79791  		10620  		60944  		858680  		925492
	
0.000  			0.600			0.900			81412  		79791  		10620  		60744  		858880  		925692
	
0.000  			0.600			0.900			81412  		79791  		10620  		60976  		858644  		925460
	
0.000  			0.600			0.900			81412  		79791  		10620  		60956  		858664  		925480
	
0.000  			0.600			0.900			81412  		79791  		10620  		60976  		858644  		925460
	
0.000  			0.600			0.900			81412  		79791  		10620  		60952  		858668  		925484
	
0.000  			0.600			0.900			81412  		79791  		10620  		61012  		858608  		925424
	
0.000  			0.600			0.900			81412  		79791  		10620  		60916  		858704  		925520
	
0.000  			0.600			0.900			81412  		79791  		10620  		60988  		858632  		925448
	
0.000  			0.600			0.900			81412  		79791  		10620  		60872  		858748  		925564
	
0.000  			0.600			0.900			81412  		79791  		10620  		60880  		858740  		925556
	
0.000  			0.600			0.900			81412  		79791  		10620  		60860  		858760  		925576
	
0.000  			0.600			0.900			81412  		79791  		10620  		60880  		858740  		925556
	
0.000  			0.600			0.900			81412  		79791  		10620  		60988  		858632  		925448
	
0.000  			0.600			0.900			81412  		79791  		10620  		60940  		858680  		925496
	
0.000  			0.600			0.900			81412  		79791  		10620  		60916  		858704  		925520
	
0.000  			0.600			0.900			81412  		79791  		10620  		60952  		858664  		925484
	
0.000  			0.600			0.900			81412  		79791  		10620  		61072  		858544  		925364
	
0.000  			0.600			0.900			81412  		79791  		10620  		60948  		858668  		925488
	
0.000  			0.600			0.900			81412  		79791  		10620  		61056  		858560  		925380
	
0.000  			0.600			0.900			81412  		79791  		10620  		60716  		858892  		925720
	
0.000  			0.600			0.900			81412  		79791  		10620  		60776  		858832  		925660
	
0.000  			0.600			0.900			81412  		79791  		10620  		60952  		858656  		925484
	
0.000  			0.600			0.900			81412  		79791  		10620  		60980  		858628  		925456
	
0.000  			0.600			0.900			81412  		79791  		10620  		60908  		858700  		925528
	
0.000  			0.600			0.900			81412  		79791  		10620  		61100  		858508  		925336
	
0.000  			0.600			0.900			81412  		79791  		10620  		60844  		858764  		925592
	
0.000  			0.500			0.900			81412  		79791  		10620  		60940  		858668  		925496
	
0.000  			0.500			0.900			81412  		79791  		10620  		60888  		858720  		925548
	
0.000  			0.500			0.900			81412  		79791  		10620  		61016  		858592  		925420
	
0.000  			0.500			0.900			81412  		79791  		10620  		61024  		858584  		925412
	
0.000  			0.500			0.900			81412  		79791  		10620  		60932  		858676  		925504
	
0.000  			0.500			0.900			81412  		79791  		10620  		60956  		858652  		925480
	
0.962  			0.500			0.900			81412  		79791  		10620  		61064  		858544  		925372
	
0.000  			0.500			0.900			81412  		79791  		10620  		60940  		858668  		925496
	
0.000  			0.500			0.900			81412  		79791  		10620  		60948  		858660  		925488
	
0.000  			0.500			0.900			81412  		79791  		10620  		60796  		858812  		925640
	
0.000  			0.500			0.900			81412  		79791  		10620  		60820  		858788  		925616
	
0.000  			0.500			0.900			81412  		79791  		10620  		60980  		858628  		925456
	
0.000  			0.500			0.900			81412  		79791  		10620  		60916  		858692  		925520
	
0.000  			0.500			0.900			81412  		79791  		10620  		60964  		858644  		925472
	
0.000  			0.500			0.900			81412  		79791  		10620  		60856  		858752  		925580
	
0.000  			0.500			0.900			81412  		79791  		10620  		60992  		858608  		925444
	
0.000  			0.500			0.900			81412  		79791  		10620  		60848  		858752  		925588
	
