CPUProc			CPU  			MEM  			VSZ  		DRS  		RSS  		USED  		FREE  		AVAILABLE	
0.000  			2.400			0.800			80016  		78395  		9340  		68048  		823972  		918360
	
0.000  			2.300			0.800			80016  		78395  		9340  		68148  		823872  		918260
	
0.000  			2.300			0.800			80016  		78395  		9340  		67872  		824148  		918536
	
0.000  			2.300			0.800			80016  		78395  		9340  		67804  		824216  		918604
	
0.000  			2.200			0.800			80016  		78395  		9340  		67876  		824132  		918532
	
1.000  			2.100			0.800			80016  		78395  		9340  		68024  		823984  		918384
	
0.000  			2.100			0.800			80016  		78395  		9340  		67940  		824068  		918468
	
1.000  			1.900			0.800			80016  		78395  		9340  		68064  		823944  		918344
	
0.000  			1.900			0.800			80016  		78395  		9340  		68076  		823932  		918332
	
0.000  			1.800			0.800			80016  		78395  		9340  		68216  		823792  		918192
	
1.923  			1.800			0.800			80016  		78395  		9340  		68224  		823784  		918184
	
1.000  			1.900			0.800			80016  		78395  		9340  		68020  		823988  		918388
	
0.000  			1.800			0.800			80016  		78395  		9340  		68200  		823808  		918208
	
1.000  			1.800			0.800			80016  		78395  		9340  		68084  		823924  		918324
	
0.000  			1.600			0.800			80016  		78395  		9340  		68176  		823832  		918232
	
0.000  			1.600			0.800			80016  		78395  		9340  		67928  		824080  		918480
	
0.000  			1.700			0.800			80016  		78395  		9340  		68072  		823936  		918336
	
0.000  			1.600			0.800			80016  		78395  		9340  		67924  		824084  		918484
	
0.962  			1.600			0.800			80016  		78395  		9340  		67836  		824172  		918572
	
0.000  			1.600			0.800			80016  		78395  		9340  		68160  		823848  		918248
	
0.000  			1.600			0.800			80016  		78395  		9340  		68072  		823936  		918336
	
1.962  			1.400			0.800			80016  		78395  		9340  		67904  		824104  		918504
	
0.962  			1.500			0.800			80016  		78395  		9340  		68084  		823924  		918324
	
0.000  			1.500			0.800			80016  		78395  		9340  		68160  		823848  		918248
	
1.000  			1.500			0.800			80016  		78395  		9340  		68132  		823876  		918276
	
0.000  			1.400			0.800			80016  		78395  		9340  		68144  		823864  		918264
	
0.000  			1.400			0.800			80016  		78395  		9340  		68112  		823896  		918296
	
1.971  			1.400			0.800			80016  		78395  		9340  		68108  		823900  		918300
	
0.971  			1.400			0.800			80016  		78395  		9340  		67992  		824016  		918416
	
0.000  			1.400			0.800			80016  		78395  		9340  		67960  		824048  		918448
	
0.000  			1.300			0.800			80016  		78395  		9340  		67988  		824020  		918420
	
1.971  			1.300			0.800			80016  		78395  		9340  		68100  		823908  		918308
	
0.962  			1.300			0.800			80016  		78395  		9340  		67852  		824156  		918556
	
0.000  			1.300			0.800			80016  		78395  		9340  		68096  		823912  		918312
	
0.000  			1.300			0.800			80016  		78395  		9340  		68064  		823944  		918344
	
0.000  			1.300			0.800			80016  		78395  		9340  		68084  		823924  		918324
	
0.000  			1.200			0.800			80016  		78395  		9340  		68124  		823884  		918284
	
0.000  			1.200			0.800			80016  		78395  		9340  		68148  		823860  		918260
	
0.962  			1.200			0.800			80016  		78395  		9340  		68072  		823936  		918336
	
1.000  			1.200			0.800			80016  		78395  		9340  		68036  		823972  		918372
	
0.000  			1.200			0.800			80016  		78395  		9340  		68012  		823988  		918396
	
0.000  			1.200			0.800			80016  		78395  		9340  		68216  		823784  		918192
	
1.000  			1.200			0.800			80016  		78395  		9340  		67988  		824012  		918420
	
