CPUProc			CPU			MEM			VSZ		DRS		RSS		USED		FREE		AVAILABLE	
23.000			2.600			5.700			4363528		4363514		466708		1544304		183708		4193384
	
0.000			2.600			5.700			4364296		4364282		467672		1544504		182740		4192416
	
1.000			2.600			5.700			4364296		4364282		467672		1544644		182600		4192276
	
0.000			2.600			5.700			4364296		4364282		467672		1544768		182476		4192152
	
3.000			2.600			5.700			4364296		4364282		467672		1545068		182168		4191844
	
0.000			2.600			5.700			4364296		4364282		467672		1544804		182432		4192116
	
0.000			2.600			5.700			4364296		4364282		467672		1544884		182352		4192036
	
0.000			2.600			5.700			4364296		4364282		467740		1544744		182492		4192176
	
0.000			2.600			5.700			4364296		4364282		467740		1545068		182168		4191852
	
2.000			2.600			5.700			4364296		4364282		467740		1544744		182492		4192176
	
